Time,Difference
10/4/16 6:00,0.12
10/4/16 7:00,0.145
10/4/16 8:00,0.15
10/4/16 9:00,0.17
10/4/16 10:00,0.169
10/4/16 11:00,0.149
10/4/16 12:00,0.163
10/4/16 13:00,0.158
10/4/16 14:00,0.107
10/4/16 15:00,0.057
10/4/16 16:00,0.071
10/4/16 17:00,0.102
10/4/16 18:00,0.143
10/4/16 19:00,0.192
10/4/16 20:00,0.228
10/4/16 21:00,0.211
10/4/16 22:00,0.237
10/4/16 23:00,0.242
10/5/16 0:00,0.288
10/5/16 1:00,0.309
10/5/16 2:00,0.226
10/5/16 3:00,0.147
10/5/16 4:00,0.136
10/5/16 5:00,0.181
10/5/16 6:00,0.229
10/5/16 7:00,0.314
10/5/16 8:00,0.383
10/5/16 9:00,0.393
10/5/16 10:00,0.381
10/5/16 11:00,0.339
10/5/16 12:00,0.303
10/5/16 13:00,0.302
10/5/16 14:00,0.243
10/5/16 15:00,0.154
10/5/16 16:00,0.139
10/5/16 17:00,0.192
10/5/16 18:00,0.259
10/5/16 19:00,0.314
10/5/16 20:00,0.371
10/5/16 21:00,0.402
10/5/16 22:00,0.371
10/5/16 23:00,0.351
10/6/16 0:00,0.351
10/6/16 1:00,0.352
10/6/16 2:00,0.336
10/6/16 3:00,0.25
10/6/16 4:00,0.196
10/6/16 5:00,0.216
10/6/16 6:00,0.279
10/6/16 7:00,0.333
10/6/16 8:00,0.417
10/6/16 9:00,0.512
10/6/16 10:00,0.53
10/6/16 11:00,0.496
10/6/16 12:00,0.459
10/6/16 13:00,0.422
10/6/16 14:00,0.391
10/6/16 15:00,0.298
10/6/16 16:00,0.22
10/6/16 17:00,0.252
10/6/16 18:00,0.331
10/6/16 19:00,0.396
10/6/16 20:00,0.471
10/6/16 21:00,0.559
10/6/16 22:00,0.583
10/6/16 23:00,0.546
10/7/16 0:00,0.494
10/7/16 1:00,0.468
10/7/16 2:00,0.447
10/7/16 3:00,0.38
10/7/16 4:00,0.302
10/7/16 5:00,0.277
10/7/16 6:00,0.341
10/7/16 7:00,0.428
10/7/16 8:00,0.492
10/7/16 9:00,0.598
10/7/16 10:00,0.708
10/7/16 11:00,0.736
10/7/16 12:00,0.669
10/7/16 13:00,0.608
10/7/16 14:00,0.569
10/7/16 15:00,0.484
10/7/16 16:00,0.396
10/7/16 17:00,0.413
10/7/16 18:00,0.552
10/7/16 19:00,0.7
10/7/16 20:00,0.83
10/7/16 21:00,0.989
10/7/16 22:00,1.105
10/7/16 23:00,1.09
10/8/16 0:00,0.964
10/8/16 1:00,0.807
10/8/16 2:00,0.677
10/8/16 3:00,0.507
10/8/16 4:00,0.297
10/8/16 5:00,0.166
10/8/16 6:00,0.16
10/8/16 7:00,0.21
10/8/16 8:00,0.258
10/8/16 9:00,0.325
10/8/16 10:00,0.455
10/8/16 11:00,0.531
10/8/16 12:00,0.475
10/8/16 13:00,0.334
10/8/16 14:00,0.187
10/8/16 15:00,0.054
10/8/16 16:00,-0.049
10/8/16 17:00,-0.03
10/8/16 18:00,0.056
10/8/16 19:00,0.185
10/8/16 20:00,0.233
10/8/16 21:00,0.204
10/8/16 22:00,0.208
10/8/16 23:00,0.274
10/9/16 0:00,0.275
10/9/16 1:00,0.23
10/9/16 2:00,0.184
10/9/16 3:00,0.137
10/9/16 4:00,0.092
10/9/16 5:00,0.082
10/9/16 6:00,0.111
