Time,Difference
10/4/16 0:00,0.238
10/4/16 1:00,0.214
10/4/16 2:00,0.149
10/4/16 3:00,0.128
10/4/16 4:00,0.167
10/4/16 5:00,0.236
10/4/16 6:00,0.254
10/4/16 7:00,0.293
10/4/16 8:00,0.309
10/4/16 9:00,0.352
10/4/16 10:00,0.368
10/4/16 11:00,0.283
10/4/16 12:00,0.238
10/4/16 13:00,0.197
10/4/16 14:00,0.163
10/4/16 15:00,0.14
10/4/16 16:00,0.188
10/4/16 17:00,0.248
10/4/16 18:00,0.333
10/4/16 19:00,0.451
10/4/16 20:00,0.506
10/4/16 21:00,0.532
10/4/16 22:00,0.501
10/4/16 23:00,0.43
10/5/16 0:00,0.403
10/5/16 1:00,0.423
10/5/16 2:00,0.37
10/5/16 3:00,0.347
10/5/16 4:00,0.363
10/5/16 5:00,0.419
10/5/16 6:00,0.513
10/5/16 7:00,0.65
10/5/16 8:00,0.738
10/5/16 9:00,0.716
10/5/16 10:00,0.623
10/5/16 11:00,0.481
10/5/16 12:00,0.375
10/5/16 13:00,0.344
10/5/16 14:00,0.286
10/5/16 15:00,0.245
10/5/16 16:00,0.317
10/5/16 17:00,0.407
10/5/16 18:00,0.505
10/5/16 19:00,0.606
10/5/16 20:00,0.699
10/5/16 21:00,0.684
10/5/16 22:00,0.616
10/5/16 23:00,0.518
10/6/16 0:00,0.464
10/6/16 1:00,0.458
10/6/16 2:00,0.432
10/6/16 3:00,0.378
10/6/16 4:00,0.358
10/6/16 5:00,0.432
10/6/16 6:00,0.505
10/6/16 7:00,0.63
10/6/16 8:00,0.782
10/6/16 9:00,0.831
10/6/16 10:00,0.817
10/6/16 11:00,0.727
10/6/16 12:00,0.58
10/6/16 13:00,0.466
10/6/16 14:00,0.426
10/6/16 15:00,0.377
10/6/16 16:00,0.377
10/6/16 17:00,0.438
10/6/16 18:00,0.552
10/6/16 19:00,0.694
10/6/16 20:00,0.845
10/6/16 21:00,0.947
10/6/16 22:00,0.953
10/6/16 23:00,0.833
10/7/16 0:00,0.674
10/7/16 1:00,0.546
10/7/16 2:00,0.486
10/7/16 3:00,0.491
10/7/16 4:00,0.448
10/7/16 5:00,0.49
10/7/16 6:00,0.601
10/7/16 7:00,0.759
10/7/16 8:00,0.893
10/7/16 9:00,1.01
10/7/16 10:00,1.097
10/7/16 11:00,1.083
10/7/16 12:00,0.929
10/7/16 13:00,0.745
10/7/16 14:00,0.692
10/7/16 15:00,0.684
10/7/16 16:00,0.736
10/7/16 17:00,0.892
10/7/16 18:00,1.122
10/7/16 19:00,1.429
10/7/16 20:00,1.73
10/7/16 21:00,1.965
10/7/16 22:00,2.12
10/7/16 23:00,2.07
10/8/16 0:00,1.843
10/8/16 1:00,1.446
10/8/16 2:00,0.968
10/8/16 3:00,0.481
10/8/16 4:00,0.108
10/8/16 5:00,-0.088
10/8/16 6:00,-0.075
10/8/16 7:00,-0.024
10/8/16 8:00,0.064
10/8/16 9:00,0.243
10/8/16 10:00,0.249
10/8/16 11:00,0.178
10/8/16 12:00,0.061
10/8/16 13:00,-0.132
10/8/16 14:00,-0.228
10/8/16 15:00,-0.204
10/8/16 16:00,-0.13
10/8/16 17:00,-0.084
10/8/16 18:00,-0.056
10/8/16 19:00,0.022
10/8/16 20:00,0.093
10/8/16 21:00,0.164
10/8/16 22:00,0.177
10/8/16 23:00,0.158
10/9/16 0:00,0.102
10/9/16 1:00,0.049
10/9/16 2:00,0.053
10/9/16 3:00,0.081
10/9/16 4:00,0.103
10/9/16 5:00,0.106
10/9/16 6:00,0.154
10/9/16 7:00,0.175
10/9/16 8:00,0.188
10/9/16 9:00,0.181
10/9/16 10:00,0.189
10/9/16 11:00,0.263
10/9/16 12:00,0.277
10/9/16 13:00,0.27
10/9/16 14:00,0.296
10/9/16 15:00,0.309
10/9/16 16:00,0.262
10/9/16 17:00,0.206
10/9/16 18:00,0.15
10/9/16 19:00,0.151
10/9/16 20:00,0.176
10/9/16 21:00,0.196
10/9/16 22:00,0.233
10/9/16 23:00,0.252
