Time,Difference
10/4/16 6:00,0.456
10/4/16 7:00,0.455
10/4/16 8:00,0.437
10/4/16 9:00,0.393
10/4/16 10:00,0.444
10/4/16 11:00,0.435
10/4/16 12:00,0.423
10/4/16 13:00,0.409
10/4/16 14:00,0.424
10/4/16 15:00,0.45
10/4/16 16:00,0.455
10/4/16 17:00,0.479
10/4/16 18:00,0.506
10/4/16 19:00,0.442
10/4/16 20:00,0.483
10/4/16 21:00,0.529
10/4/16 22:00,0.514
10/4/16 23:00,0.527
10/5/16 0:00,0.493
10/5/16 1:00,0.438
10/5/16 2:00,0.487
10/5/16 3:00,0.447
10/5/16 4:00,0.469
10/5/16 5:00,0.456
10/5/16 6:00,0.468
10/5/16 7:00,0.396
10/5/16 8:00,0.381
10/5/16 9:00,0.392
10/5/16 10:00,0.383
10/5/16 11:00,0.338
10/5/16 12:00,0.338
10/5/16 13:00,0.365
10/5/16 14:00,0.34
10/5/16 15:00,0.334
10/5/16 16:00,0.336
10/5/16 17:00,0.408
10/5/16 18:00,0.41
10/5/16 19:00,0.449
10/5/16 20:00,0.429
10/5/16 21:00,0.417
10/5/16 22:00,0.462
10/5/16 23:00,0.503
10/6/16 0:00,0.518
10/6/16 1:00,0.531
10/6/16 2:00,0.604
10/6/16 3:00,0.571
10/6/16 4:00,0.564
10/6/16 5:00,0.641
10/6/16 6:00,0.63
10/6/16 7:00,0.779
10/6/16 8:00,0.734
10/6/16 9:00,0.738
10/6/16 10:00,0.726
10/6/16 11:00,0.777
10/6/16 12:00,0.824
10/6/16 13:00,0.828
10/6/16 14:00,0.835
10/6/16 15:00,0.967
10/6/16 16:00,0.997
10/6/16 17:00,1.059
10/6/16 18:00,1.08
10/6/16 19:00,1.261
10/6/16 20:00,1.262
10/6/16 21:00,1.329
10/6/16 22:00,1.24
10/6/16 23:00,1.204
10/7/16 0:00,1.305
10/7/16 1:00,1.326
10/7/16 2:00,1.33
10/7/16 3:00,1.46
10/7/16 4:00,1.74
10/7/16 5:00,1.584
10/7/16 6:00,1.488
10/7/16 7:00,1.36
10/7/16 8:00,1.278
10/7/16 9:00,1.371
10/7/16 10:00,1.338
10/7/16 11:00,1.285
10/7/16 12:00,1.258
10/7/16 13:00,1.272
10/7/16 14:00,1.18
10/7/16 15:00,1.247
10/7/16 16:00,1.169
10/7/16 17:00,1.155
10/7/16 18:00,1.167
10/7/16 19:00,1.084
10/7/16 20:00,1.121
10/7/16 21:00,1.115
10/7/16 22:00,1.232
10/7/16 23:00,1.117
10/8/16 0:00,1.111
10/8/16 1:00,1.067
10/8/16 2:00,1.022
10/8/16 3:00,1.061
10/8/16 4:00,1.117
10/8/16 5:00,1.07
10/8/16 6:00,1.061
