Time,Difference
10/4/16 6:00,0.208
10/4/16 7:00,0.232
10/4/16 8:00,0.301
10/4/16 9:00,0.293
10/4/16 10:00,0.245
10/4/16 11:00,0.228
10/4/16 12:00,0.15
10/4/16 13:00,0.148
10/4/16 14:00,0.135
10/4/16 15:00,0.121
10/4/16 16:00,0.141
10/4/16 17:00,0.213
10/4/16 18:00,0.294
10/4/16 19:00,0.365
10/4/16 20:00,0.33
10/4/16 21:00,0.372
10/4/16 22:00,0.379
10/4/16 23:00,0.373
10/5/16 0:00,0.333
10/5/16 1:00,0.301
10/5/16 2:00,0.254
10/5/16 3:00,0.237
10/5/16 4:00,0.269
10/5/16 5:00,0.277
10/5/16 6:00,0.359
10/5/16 7:00,0.505
10/5/16 8:00,0.553
10/5/16 9:00,0.524
10/5/16 10:00,0.466
10/5/16 11:00,0.388
10/5/16 12:00,0.342
10/5/16 13:00,0.281
10/5/16 14:00,0.228
10/5/16 15:00,0.225
10/5/16 16:00,0.246
10/5/16 17:00,0.313
10/5/16 18:00,0.387
10/5/16 19:00,0.487
10/5/16 20:00,0.515
10/5/16 21:00,0.508
10/5/16 22:00,0.492
10/5/16 23:00,0.475
10/6/16 0:00,0.446
10/6/16 1:00,0.414
10/6/16 2:00,0.344
10/6/16 3:00,0.288
10/6/16 4:00,0.277
10/6/16 5:00,0.342
10/6/16 6:00,0.379
10/6/16 7:00,0.523
10/6/16 8:00,0.644
10/6/16 9:00,0.651
10/6/16 10:00,0.64
10/6/16 11:00,0.57
10/6/16 12:00,0.504
10/6/16 13:00,0.441
10/6/16 14:00,0.356
10/6/16 15:00,0.32
10/6/16 16:00,0.304
10/6/16 17:00,0.358
10/6/16 18:00,0.454
10/6/16 19:00,0.532
10/6/16 20:00,0.68
10/6/16 21:00,0.721
10/6/16 22:00,0.635
10/6/16 23:00,0.574
10/7/16 0:00,0.587
10/7/16 1:00,0.539
10/7/16 2:00,0.484
10/7/16 3:00,0.405
10/7/16 4:00,0.399
10/7/16 5:00,0.394
10/7/16 6:00,0.468
10/7/16 7:00,0.549
10/7/16 8:00,0.685
10/7/16 9:00,0.826
10/7/16 10:00,0.902
10/7/16 11:00,0.84
10/7/16 12:00,0.753
10/7/16 13:00,0.807
10/7/16 14:00,0.582
10/7/16 15:00,0.588
10/7/16 16:00,0.583
10/7/16 17:00,0.744
10/7/16 18:00,0.901
10/7/16 19:00,1.037
10/7/16 20:00,1.265
10/7/16 21:00,1.334
10/7/16 22:00,1.372
10/7/16 23:00,1.193
10/8/16 0:00,0.901
10/8/16 1:00,0.681
10/8/16 2:00,0.443
10/8/16 3:00,0.264
10/8/16 4:00,0.184
10/8/16 5:00,0.149
10/8/16 6:00,0.135
10/8/16 7:00,0.076
10/8/16 8:00,0.125
10/8/16 9:00,0.166
10/8/16 10:00,0.219
10/8/16 11:00,0.135
10/8/16 12:00,-0.035
10/8/16 13:00,-0.123
10/8/16 14:00,-0.133
10/8/16 15:00,-0.183
10/8/16 16:00,-0.083
10/8/16 17:00,-0.013
10/8/16 18:00,0.019
10/8/16 19:00,0.098
10/8/16 20:00,0.141
10/8/16 21:00,0.141
10/8/16 22:00,0.162
10/8/16 23:00,0.124
10/9/16 0:00,0.039
10/9/16 1:00,0.021
10/9/16 2:00,0.058
10/9/16 3:00,0.046
10/9/16 4:00,0.072
10/9/16 5:00,0.104
10/9/16 6:00,0.169
