Time,Difference
10/4/16 6:00,0.222
10/4/16 7:00,0.229
10/4/16 8:00,0.185
10/4/16 9:00,0.231
10/4/16 10:00,0.148
10/4/16 11:00,0.137
10/4/16 12:00,0.137
10/4/16 13:00,0.076
10/4/16 14:00,0.174
10/4/16 15:00,0.086
10/4/16 16:00,0.167
10/4/16 17:00,0.17
10/4/16 18:00,0.135
10/4/16 19:00,0.181
10/4/16 20:00,0.185
10/4/16 21:00,0.222
10/4/16 22:00,0.21
10/4/16 23:00,0.193
10/5/16 0:00,0.191
10/5/16 1:00,0.239
10/5/16 2:00,0.201
10/5/16 3:00,0.177
10/5/16 4:00,0.161
10/5/16 5:00,0.22
10/5/16 6:00,0.237
10/5/16 7:00,0.187
10/5/16 8:00,0.241
10/5/16 9:00,0.285
10/5/16 10:00,0.309
10/5/16 11:00,0.216
10/5/16 12:00,0.174
10/5/16 13:00,0.247
10/5/16 14:00,0.215
10/5/16 15:00,0.22
10/5/16 16:00,0.249
10/5/16 17:00,0.249
10/5/16 18:00,0.223
10/5/16 19:00,0.234
10/5/16 20:00,0.234
10/5/16 21:00,0.36
10/5/16 22:00,0.293
10/5/16 23:00,0.296
10/6/16 0:00,0.306
10/6/16 1:00,0.299
10/6/16 2:00,0.249
10/6/16 3:00,0.333
10/6/16 4:00,0.334
10/6/16 5:00,0.275
10/6/16 6:00,0.356
10/6/16 7:00,0.41
10/6/16 8:00,0.358
10/6/16 9:00,0.393
10/6/16 10:00,0.323
10/6/16 11:00,0.413
10/6/16 12:00,0.451
10/6/16 13:00,0.354
10/6/16 14:00,0.399
10/6/16 15:00,0.387
10/6/16 16:00,0.38
10/6/16 17:00,0.377
10/6/16 18:00,0.426
10/6/16 19:00,0.47
10/6/16 20:00,0.475
10/6/16 21:00,0.517
10/6/16 22:00,0.54
10/6/16 23:00,0.535
10/7/16 0:00,0.534
10/7/16 1:00,0.516
10/7/16 2:00,0.59
10/7/16 3:00,0.577
10/7/16 4:00,0.5
10/7/16 5:00,0.709
10/7/16 6:00,0.78
10/7/16 7:00,0.856
10/7/16 8:00,1.124
10/7/16 9:00,1.223
10/7/16 10:00,0.971
10/7/16 11:00,0.436
10/7/16 12:00,0.121
10/7/16 13:00,0.198
10/7/16 14:00,0.296
10/7/16 15:00,0.359
10/7/16 16:00,0.332
10/7/16 17:00,0.183
10/7/16 18:00,0.284
10/7/16 19:00,0.214
10/7/16 20:00,0.101
10/7/16 21:00,0.072
10/7/16 22:00,0.213
10/7/16 23:00,0.219
10/8/16 0:00,0.192
10/8/16 1:00,0.177
10/8/16 2:00,0.197
10/8/16 3:00,0.121
10/8/16 4:00,0.222
10/8/16 5:00,0.097
10/8/16 6:00,0.121
10/8/16 7:00,0.189
10/8/16 8:00,0.193
10/8/16 9:00,0.223
10/8/16 10:00,0.253
10/8/16 11:00,0.229
10/8/16 12:00,0.221
10/8/16 13:00,0.229
10/8/16 14:00,0.194
10/8/16 15:00,0.257
10/8/16 16:00,0.247
10/8/16 17:00,0.24
10/8/16 18:00,0.126
10/8/16 19:00,0.265
10/8/16 20:00,0.249
10/8/16 21:00,0.238
10/8/16 22:00,0.225
10/8/16 23:00,0.238
10/9/16 0:00,0.254
10/9/16 1:00,0.178
10/9/16 2:00,0.124
10/9/16 3:00,0.176
10/9/16 4:00,0.255
10/9/16 5:00,0.158
10/9/16 6:00,0.213
